"Kod";"Nazwa";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2002;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2003;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2004;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2005;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2006;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2007;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2008;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2009;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2010;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2011;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2012;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2013;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2014;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2015;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2016;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2017;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2018;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2019;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2020;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2021;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2022;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2023;[-]";"przestępstwa stwierdzone przez Policję ogółem na 1000 mieszkańców;2024;[-]";
0200000;"DOLNOŚLĄSKIE";41,33;44,08;44,88;42,73;41,42;39,16;36,62;38,01;39,20;38,87;39,49;38,15;28,73;27,33;25,73;25,10;25,76;26,76;25,66;28,19;29,03;27,51;26,53;
0400000;"KUJAWSKO-POMORSKIE";38,05;40,12;39,19;35,57;32,72;29,62;28,54;28,31;26,76;28,18;28,96;25,53;20,12;18,60;17,82;17,99;20,96;18,45;18,23;20,20;22,53;21,63;19,01;
0600000;"LUBELSKIE";29,90;29,48;29,31;28,12;26,36;23,62;23,13;22,37;21,90;23,67;22,56;20,68;17,14;15,39;14,62;14,59;16,11;15,91;14,07;16,26;15,79;16,49;15,56;
0800000;"LUBUSKIE";42,82;42,98;41,85;39,12;38,43;38,06;37,59;37,04;38,35;40,14;37,82;37,41;29,13;26,43;22,38;23,00;24,77;25,51;24,62;27,52;25,09;25,25;23,99;
1000000;"ŁÓDZKIE";33,89;35,88;35,88;33,60;30,94;28,58;27,97;27,93;29,34;29,13;27,08;26,40;20,70;19,34;18,50;17,76;17,49;18,61;18,41;22,80;19,38;20,99;19,24;
1200000;"MAŁOPOLSKIE";32,85;39,81;38,99;35,30;32,33;26,57;25,12;26,79;28,31;29,47;28,93;25,78;21,90;20,56;21,50;24,34;22,00;23,50;20,13;20,35;21,89;20,88;24,39;
1400000;"MAZOWIECKIE";37,88;40,07;40,59;40,00;36,63;30,87;26,28;27,86;26,64;27,03;26,99;26,31;22,26;21,06;20,20;19,35;20,92;21,24;19,97;21,94;23,30;22,13;21,68;
1600000;"OPOLSKIE";36,72;35,91;35,36;33,00;31,24;30,58;28,04;27,19;30,02;30,87;29,55;28,45;22,92;19,95;20,01;19,95;17,54;18,22;16,37;18,16;17,34;16,46;17,01;
1800000;"PODKARPACKIE";23,70;24,00;23,06;20,93;19,72;18,05;18,14;18,43;17,34;18,23;17,92;16,76;13,11;12,92;11,02;13,97;11,39;12,24;15,33;13,91;12,93;11,56;11,75;
2000000;"PODLASKIE";28,15;30,54;30,27;26,54;23,15;22,31;21,39;21,68;20,49;21,29;20,95;18,69;15,51;14,68;14,36;13,89;14,49;14,70;15,17;15,55;19,44;16,18;14,69;
2200000;"POMORSKIE";52,12;51,48;50,44;45,33;40,97;33,67;33,94;40,79;36,05;32,68;27,68;28,70;23,81;21,28;19,93;19,02;19,49;20,67;20,94;21,74;23,25;22,67;21,47;
2400000;"ŚLĄSKIE";38,52;40,80;42,95;41,21;39,26;35,32;32,96;33,93;36,45;37,16;36,27;34,41;28,60;25,59;23,18;24,53;24,27;24,06;26,57;27,59;35,08;25,94;24,24;
2600000;"ŚWIĘTOKRZYSKIE";30,11;32,91;32,91;31,05;32,04;31,75;27,17;28,02;25,98;26,81;24,85;22,99;20,13;19,64;15,12;16,87;16,29;17,25;18,82;18,85;19,77;17,21;15,52;
2800000;"WARMIŃSKO-MAZURSKIE";41,02;39,19;37,44;35,17;34,28;31,46;27,60;27,21;25,90;26,97;25,74;22,78;21,08;18,80;18,76;17,07;17,61;18,12;18,92;18,41;19,85;18,64;20,74;
3000000;"WIELKOPOLSKIE";35,17;36,39;34,92;34,34;30,88;26,82;26,90;28,71;28,16;29,38;27,76;27,69;22,04;19,81;17,74;16,50;17,18;18,08;16,78;19,26;18,90;18,36;18,55;
3200000;"ZACHODNIOPOMORSKIE";42,74;40,37;39,57;38,29;35,83;34,23;31,51;34,46;35,35;36,25;34,24;30,27;25,36;23,21;21,00;19,88;23,48;30,39;21,20;24,11;22,28;21,27;20,33;
