"Kod";"Nazwa";"saldo migracji;ogółem;ogółem;2002;[osoba]";"saldo migracji;ogółem;ogółem;2003;[osoba]";"saldo migracji;ogółem;ogółem;2004;[osoba]";"saldo migracji;ogółem;ogółem;2005;[osoba]";"saldo migracji;ogółem;ogółem;2006;[osoba]";"saldo migracji;ogółem;ogółem;2007;[osoba]";"saldo migracji;ogółem;ogółem;2008;[osoba]";"saldo migracji;ogółem;ogółem;2009;[osoba]";"saldo migracji;ogółem;ogółem;2011;[osoba]";"saldo migracji;ogółem;ogółem;2012;[osoba]";"saldo migracji;ogółem;ogółem;2013;[osoba]";"saldo migracji;ogółem;ogółem;2014;[osoba]";"saldo migracji;ogółem;ogółem;2015;[osoba]";"saldo migracji;ogółem;ogółem;2016;[osoba]";"saldo migracji;ogółem;ogółem;2017;[osoba]";"saldo migracji;ogółem;ogółem;2018;[osoba]";"saldo migracji;ogółem;ogółem;2019;[osoba]";"saldo migracji;ogółem;ogółem;2020;[osoba]";"saldo migracji;ogółem;ogółem;2021;[osoba]";"saldo migracji;ogółem;ogółem;2022;[osoba]";"saldo migracji;ogółem;ogółem;2023;[osoba]";"saldo migracji;ogółem;ogółem;2024;[osoba]";
0200000;"DOLNOŚLĄSKIE";2572;2453;2088;1998;2239;2126;2553;2260;1663;1715;2016;2656;2906;2723;2414;2581;2477;1659;3131;3196;3076;2318;
0400000;"KUJAWSKO-POMORSKIE";-2088;-2642;-2114;-1085;-900;-250;-13;-121;-389;-675;-1238;-975;-575;-551;122;179;197;-764;-1054;-947;-995;-930;
0600000;"LUBELSKIE";-8789;-8493;-8046;-7262;-6332;-5606;-5135;-4873;-5049;-4723;-5486;-5851;-5321;-5022;-4785;-4543;-4132;-3596;-3730;-3185;-2889;-2832;
0800000;"LUBUSKIE";-1144;-427;-584;-688;-920;-1088;-1704;-1865;-1399;-1377;-1537;-1540;-1480;-1136;-738;-530;-351;-90;-1160;-1335;-1421;-1059;
1000000;"ŁÓDZKIE";-3941;-4048;-3942;-3745;-4155;-4196;-3555;-3456;-3370;-3067;-3116;-3005;-2455;-1899;-1728;-1290;-1358;-1579;-2056;-1755;-1942;-1942;
1200000;"MAŁOPOLSKIE";14378;14913;15206;14497;14269;14743;13475;12755;11561;10737;10387;10387;8187;8542;7247;5526;5013;4019;3929;3336;3196;3230;
1400000;"MAZOWIECKIE";12117;11374;11045;9861;7694;7346;6442;6615;6217;6267;6854;7772;7597;6712;7305;7638;7401;7859;9103;8019;8049;7355;
1600000;"OPOLSKIE";450;645;894;930;1223;1561;1480;1698;1572;1239;823;740;451;218;272;95;-132;-100;-174;-144;-116;-77;
1800000;"PODKARPACKIE";-10866;-10305;-9988;-9551;-8978;-9108;-8639;-8220;-6842;-6290;-5625;-5075;-4044;-3565;-2906;-2185;-1670;-1084;-1114;-736;-998;-702;
2000000;"PODLASKIE";-3115;-2865;-3088;-3038;-2954;-3321;-3117;-3172;-2662;-2471;-2152;-2129;-1526;-1516;-1420;-1242;-1231;-915;-1112;-1020;-1016;-867;
2200000;"POMORSKIE";5991;5938;4622;3623;3616;3790;3210;3328;2800;2868;2892;2702;2517;2166;1389;1487;1965;1798;2086;2207;2483;2788;
2400000;"ŚLĄSKIE";1879;1166;1004;258;-313;-1567;-1838;-1268;-1162;-1282;-2060;-3648;-2933;-3846;-4151;-4175;-4130;-4001;-4555;-4459;-4240;-3953;
2600000;"ŚWIĘTOKRZYSKIE";-10157;-9794;-9081;-8375;-7607;-7241;-6519;-6008;-5217;-4783;-4257;-3879;-3672;-2863;-2391;-2227;-2076;-1577;-1628;-1297;-1118;-1229;
2800000;"WARMIŃSKO-MAZURSKIE";-5127;-4979;-4534;-3904;-3061;-2693;-2204;-2726;-2655;-2867;-2652;-2544;-2708;-2407;-2197;-2369;-2882;-2386;-2659;-2449;-2602;-2552;
3000000;"WIELKOPOLSKIE";4914;4759;4706;4474;4464;3875;3703;3585;3442;3231;3616;3163;2417;1750;1003;823;921;1009;1217;910;879;487;
3200000;"ZACHODNIOPOMORSKIE";2926;2305;1812;2007;1715;1629;1861;1468;1490;1478;1535;1226;639;694;564;232;-12;-252;-224;-341;-346;-35;
